index,snippet,found
903,je mets aux voix l'ensemble du projet de loi.,True
1669,"mes chers collègues, je précise que nous avons examiné 50 amendements, à la vitesse moyenne de 15 amendements à l'heure, et qu'il en reste 291.la suit",False
2935,"(la séance, suspendue à seize heures dix, est reprise à seize heures vingt-cinq, sous la présidence de m. sylvain waserman.)",False
2945,"la parole est à m. patrick hetzel, pour soutenir l'amendement no 31.",True
3918,cet amendement vise à substituer à un décret en conseil d'état un décret simple pour la fixation des critères qui président au calcul de l'indemnité d,True
3919,quel est l'avis du gouvernement ?,True
3920,"légiférer, c'est déterminer la meilleure solution, de façon pragmatique, cohérente avec ses valeurs, en écoutant à la fois la concertation sociale et ",True
4381,(m. sacha houlié remplace m. françois de rugy au fauteuil de la présidence.),False
6322,"(la séance, suspendue à seize heures dix, est reprise à seize heures trente, sous la présidence de m. sacha houlié.)",False
7242,(mme carole bureau-bonnard remplace m. françois de rugy au fauteuil de la présidence.),False
7302,je mets aux voix la motion de rejet préalable sur le projet de loi organique.,True
8458,"(la séance, suspendue à seize heures trente-cinq, est reprise à seize heures cinquante, sous la présidence de m. françois de rugy.)",False
8662,"(la séance, suspendue à dix-huit heures quinze, est reprise à dix-huit heures trente, sous la présidence de mme cendra motin.)",False
9489,(la séance est ouverte à quinze heures.),False
9499,"nous voulons que le parlement puisse s'exprimer, lors de la discussion du budget, à partir des vrais chiffres et non de sous-budgétisations. vous aure",False
9508,"…dans la foulée, mettre en œuvre tous les moyens nécessaires afin que les paiements relatifs aux maec et aux aides à l'agriculture biologique au titre",False
9696,c'est vrai !,True
9701,"nous, nous sommes pour le nucléaire !",False
9702,nous n'avons aucun problème avec le nucléaire !,False
9703,"la france veut entrer dans la révolution énergétique, et elle y entrera, car elle en a les moyens, le potentiel économique et la créativité. (applaudi",False
9709,"(la séance, suspendue à seize heures vingt-cinq, est reprise à dix-sept heures, sous la présidence de mme danielle brulebois.)",False
11944,"(la séance, suspendue à dix-sept heures trente-cinq, est reprise à dix-sept heures cinquante, sous la présidence de m. françois de rugy.)",False
11965,(m. sacha houlié remplace m. françois de rugy au fauteuil de la présidence.),False
12167,"je suis de quatre amendements identiques, nos 418 rectifié, 416 rectifié, 417 rectifié et 419 rectifié.la parole est à mme laurence dumont, pour soute",False
12170,"« la ruse avilit la politique », disait étienne de jouy il y a plus de 200 ans – il pensait sans doute à m. bompard. plus sérieusement, la politique f",True
13677,"je vous annonce qu'à la demande du gouvernement et en application de l'article 95, alinéa 4, du règlement, l'assemblée nationale examinera par priorit",True
16330,"(la séance, suspendue à seize heures cinq, est reprise à seize heures vingt-cinq, sous la présidence de mme carole bureau-bonnard.)",False
16687,"(la séance, suspendue à dix heures cinquante, est reprise à onze heures, sous la présidence de mme cendra motin.)",False
18631,"(la motion de rejet préalable, mise aux voix, n'est pas adoptée.)",False
18632,"(à dix-sept heures cinquante-cinq, mme carole bureau-bonnard remplace m. françois de rugy au fauteuil de la présidence.)",False
19574,"(la séance, suspendue à seize heures dix, est reprise à seize heures trente, sous la présidence de m. hugues renson.)",False
21192,"(la séance, suspendue à dix-sept heures quinze, est reprise à dix-sept heures vingt-cinq, sous la présidence de mme carole bureau-bonnard.)",False
21468,"(à dix-huit heures cinquante- cinq , mme cendra motin remplace mme carole bureau-bonnard au fauteuil de la présidence.)",False
23839,(m. françois de rugy prend place au fauteuil de la présidence .),False
23840,"monsieur le secrétaire d'état chargé des relations avec le parlement, monsieur le doyen, mes chers collègues, je sais que beaucoup parmi vous partagen",True
24161,"(la séance, suspendue à seize heures dix, est reprise à seize heures vingt-cinq, sous la présidence de m. hugues renson.)",False
26068,"j'appelle maintenant, dans le texte de la commission, les articles du projet de loi.",True
26071,je mets aux voix l'article unique du projet de loi.,True
26955,excellent !,True
26960,c'est inadmissible !,True
26961,"peu, c'est déjà trop !",False
26962,"parallèlement, le gouvernement est très engagé en faveur de l'emploi des travailleurs handicapés. (exclamations sur les bancs des groupes ng, gdr, fi ",False
26969,il n'est pas là !,True
26970,…le président de la république s'était engagé en début de mandat à réunir chaque année les parlementaires en congrès. la promesse a été tenue ! (appla,False
26971,"ça, il fallait oser !",True
26972,"dans un discours de vérité, il a remis en perspective le travail accompli depuis un an et rappelé le sens du projet français, celui du progrès, que no",True
26973,quel art de l'antiphrase !,False
26974,"sans triomphalisme, mais avec fermeté, il a rappelé que notre action n'était qu'un bloc : il n'y a pas à choisir entre action économique et action soc",True
26978,depuis quand y a-t-il de la publicité pendant les questions au gouvernement ?,False
26979,"monsieur le premier ministre, c'est une révolution aux objectifs multiples qui se dessine. (exclamations sur les bancs du groupe lr.) pouvez-vous nous",False
26990,de pacotille !,True
26991,"…plus universel qui vise à mieux couvrir les risques de chômage de chacun,…",False
26992,avec ce « pognon de dingue » ?,False
26993,"…indépendamment de son statut, du fait de savoir s'il est agriculteur ou en contrat à durée déterminée, par exemple, et au regard de droits qui ne son",False
27052,c'est une faute !,True
27053,"cet amendement, déposé par m. abad, a curieusement été retiré juste avant d'être débattu, peut-être parce qu'il n'était pas totalement conforme ! (rir",False
27088,ce n'est pas vrai !,True
27089,"rappelons qu'en 2013, elles disposaient de 1,4 milliard d'euros.",True
27094,"supprimez les cci, cela ira plus vite !",False
27117,et pour ceux de demain ?,False
27118,"« et cela, pour une raison simple : […] on a choisi de refonder un système de retraite », pour les retraités de demain (exclamations sur les bancs du ",False
27125,vous allez donc toucher aux pensions de réversion !,False
27126,eh oui !,True
27127,"vous le savez, il n'y a jamais aucun perdant quand il y a plus de justice. (applaudissements sur plusieurs bancs du groupe larem.)",False
27139,"ces propos s'adressent à la majorité, on l'aura bien compris !",False
27140,"les français ont raison d'être exigeants avec leurs élus mais je veux témoigner que, depuis seize ans, dans cet hémicycle, les élus, l'administration ",True
27143,il vient tout de même de dire que votre révision constitutionnelle était nulle !,False
27144,permettez-moi de vous dire tout le plaisir que j'ai eu à siéger sur ces bancs avec vous et de souligner tout le respect qui vous est dû après une vie ,True
27147,"dites-le devant l'assemblée nationale, ce sera aussi bien !",False
27148,"…car je ne crois pas que le parlement de 2018, de 2012 ou de 2008 ait eu moins de pouvoirs que celui de 1958, de 1962 ou de 1965.",False
27151,"vous, c'est un bazooka que vous pointez sur lui !",False
27152,telle est l'origine de la ve république.,True
27168,m. hetzel sait de quoi il parle !,False
27170,calimero !,True
27171,"or, aujourd'hui, les résultats de parcoursup sont bien meilleurs que ceux d'apb – admission post-bac – l'année dernière. voici les chiffres : 676 929 ",True
27172,et les autres ?,True
27173,"quant aux bacheliers professionnels, sujet que j'ai regardé de près, sur 103 175 qui ont formulé un vœu, 67 % ont reçu une proposition…",False
27174,un tiers restent donc sur le carreau !,False
27175,"…dont 57 % en bts – contre 46 % l'année dernière avec apb. (applaudissements sur quelques bancs du groupe larem.)les mesures prises sont sociales, ell",False
27209,et vivent les belges !,False
27216,c'est vrai !,True
27217,"dans cette maison même, les fonctionnaires de l'assemblée nationale, eux, n'ont eu droit à aucune compensation.autant votre gouvernement a été prompt ",False
27222,quelle arrogance !,True
27223,"concernant ce que vous appelez le « parapublic » – on peut imaginer qu'il s'agit des établissements publics universitaires ou culturels, qui dépendent",True
27553,"(à dix-neuf heures, m. yves jégo remplace m. françois de rugy au fauteuil de la présidence.)",False
27718,lamentable !,True
28349,"(à dix-huit heures dix, m. hugues renson remplace m. françois de rugy au fauteuil de la présidence.)",False
28974,"(à vingt-trois heures quarante-cinq, mme carole bureau-bonnard remplace m. françois de rugy au fauteuil de la présidence.)",False
30425,mme untermaier m'indique qu'elle maintient son sous-amendement. nous allons pouvoir passer au vote.,True
31990,"(à dix-huit heures quinze, mme carole bureau-bonnard remplace m. françois de rugy au fauteuil de la présidence.)",False
33306,"(la séance, suspendue à seize heures dix, est reprise à seize heures trente, sous la présidence de mme carole bureau-bonnard.)",False
33615,"(la séance, suspendue à seize heures cinq, est reprise à seize heures quinze , sous la présidence de m. françois de rugy.)",False
36948,je mets maintenant aux voix les amendements identiques nos 210 et 1825.,True
37053,"je suis saisi de six amendements, nos 2428 rectifié, 2416 rectifié, 2415 rectifié, 1047 rectifié, 1727 rectifié et 773 rectifié, pouvant être soumis à",True
37284,"mes chers collègues, nous ressentons une émotion commune face aux images qui montrent des actes de violence inacceptables commis par un individu salar",True
37333,"ces amendements ont déjà été présentés par leurs auteurs et ont reçu un avis défavorable de la commission des lois constitutionnelles, de la législati",True
37535,"monsieur potier, il faut cesser ce conciliabule et écouter m. wulfranc, comme il vous a écouté.",True
37536,"oui, monsieur le président ; vous avez raison.",True
37537,"cela nous renvoie, par exemple, au cas de la loi visant à reconquérir l'économie réelle, dite « loi florange ». aujourd'hui, l'outil de travail est gâ",False
