index,snippet,found
39,"monsieur le secrétaire d'état chargé des relations avec le parlement, monsieur le doyen, mes chers collègues, je sais que beaucoup parmi vous partagen",True
41,"je n'oublie pas le goût pour la diversité régionale que mes parents m'ont transmis. de la bretagne à la lorraine, de la corse à l'alsace…",True
240,la séance est ouverte.,True
243,"le parlement est réuni en congrès, conformément au décret du président de la république publié au journal officiel du 29 juin 2017. l'ordre du jour ap",False
245,"monsieur le président de la république, au nom du congrès du parlement, je vous souhaite la bienvenue.",False
247,"avant de vous donner la parole, monsieur le président de la république, je voudrais évoquer un exemple, un symbole, une référence. simone veil occupe ",False
250,"monsieur le président de la république, vous avez la parole.",False
251,"monsieur le président du congrès, monsieur le président du sénat, monsieur le premier ministre, mesdames et messieurs les membres du gouvernement, mes",False
253,"car le sentiment d'appartenance, en définitive, existe moins qu'auparavant. nos sociétés modernes ont tendance à se fractionner au gré des intérêts, d",False
255,"la france est un pays qui résiste aussi longtemps qu'il est possible de ne pas réformer, un pays qui se cabre quand on lui parle mal, quand on ne lui ",False
257,"la paix n'est pas seulement le socle de l'europe, elle en est en l'idéal, toujours à promouvoir, et seule l'europe, et la france dans l'europe, aujour",False
259,je vais suspendre la séance quelques instants pour raccompagner le président de la république.,False
261,la séance est reprise.,True
263,l'ordre du jour appelle le débat sur la déclaration du président de la république. je vous rappelle que chaque groupe dispose d'un temps de parole de ,False
264,"monsieur le président du congrès, monsieur le président du sénat, monsieur le premier ministre, mesdames et messieurs les membres du gouvernement, che",False
266,"nous devons également bâtir une france et une europe protégeant des dangers réels que rencontrent nos concitoyens au xxie siècle, et non de dangers pa",False
268,"alors, mes chers collègues, évaluons, corrigeons, améliorons, simplifions et choisissons de ne légiférer que sur l'essentiel ! sinon, nous deviendrons",False
270,"la parole est à m. bruno retailleau, pour le groupe les républicains du sénat.",False
271,"monsieur le président du congrès, monsieur le président du sénat – cher gérard larcher –, monsieur le premier ministre, mesdames, messieurs les membre",False
273,"si vous me le permettez, cette réponse civique doit aussi s'accompagner d'une lutte contre les communautarismes, qui déchirent notre tissu social. per",False
275,"la parole est à mme virginie duby-muller, pour le groupe les républicains de l'assemblée nationale.",False
276,"monsieur le président du congrès, monsieur le président du sénat, monsieur le premier ministre, mesdames, messieurs les membres du gouvernement, mes c",False
278,"car supprimer une partie des élus revient à augmenter la taille des circonscriptions, et induit donc le risque d'un éloignement par rapport à son dépu",False
280,"la parole est à m. didier guillaume, pour le groupe socialiste et républicain du sénat.",False
281,"monsieur le président du congrès, monsieur le président du sénat, monsieur le premier ministre, mesdames et messieurs les membres du gouvernement, che",False
283,"la france est le seul pays au monde où le président de la république ne peut pas débattre avec les parlementaires. oui, comme l'a dit le président de ",False
285,"il peut d'ailleurs même nous arriver parfois d'y souscrire. mes chers collègues, scellons donc aujourd'hui le pacte de versailles : parce que nous som",False
287,je conclurai en répondant aux projets d'améliorations de nos institutions annoncés par le président de la république. on nous annonce une dose conséqu,False
289,"pour l'oratrice qui m'a précédé à la tribune, rien ne va et il faut tout changer mais, au bout de du compte, rien ne doit changer. eh bien, non ! il f",False
291,"la parole est à m. marc fesneau, pour le groupe du mouvement démocrate et apparentés de l'assemblée nationale.",False
292,"monsieur le président du congrès, monsieur le président du sénat, monsieur le premier ministre, mesdames et messieurs les membres du gouvernement, che",False
294,"la parole est à m. vincent capo-canellas, pour le groupe de l'union des démocrates et indépendants-union centriste du sénat.",False
295,"monsieur le président du congrès, monsieur le président du sénat, monsieur le premier ministre, mesdames et messieurs les membres du gouvernement, mes",False
297,"la parole est à m. franck riester, pour le groupe les constructifs : républicains, udi, indépendants de l'assemblée nationale.",False
298,"monsieur le président du congrès, monsieur le président du sénat, monsieur le premier ministre, mesdames et messieurs les ministres, chers collègues, ",False
299,très bien !,True
300,"cette fracture territoriale qui divise les français n'en est qu'une parmi tant d'autres. regardons la réalité en face, nos politiques publiques sont e",False
302,"la parole est à m. françois patriat, pour le groupe la république en marche du sénat.",False
303,"monsieur le président du congrès, monsieur le président du sénat, monsieur le premier ministre, mesdames et messieurs les ministres, mes chers collègu",False
305,"la parole est à m. olivier faure, pour le groupe nouvelle gauche de l'assemblée nationale.",False
306,"monsieur le président du congrès, monsieur le président du sénat, monsieur le premier ministre, mesdames et messieurs les membres du gouvernement, mes",False
307,très bien !,True
308,"choisir, ce n'est pas prétendre moraliser la vie publique et, en même temps, oublier vos engagements en matière d'incompatibilité entre mandat parleme",False
310,"choisir, ce n'est pas affirmer que l'on veut protéger le monde du travail et, en même temps, revenir sur le compte pénibilité, faciliter les licenciem",False
312,"choisir, ce n'est pas afficher la volonté d'augmenter le pouvoir d'achat des classes populaires et des classes moyennes et, en même temps, augmenter l",False
314,menteur !,True
